,0,1,2,3,4,5,6,7,8,9,10,11
22,-1293.1722678660303,-6140.8660407820735,-10863.258368899807,-11034.79045077176,-9164.066221022944,-10189.41612395452,-10370.760818097906,-10417.464176081869,-11024.236290183848,-3896.5074842877684,75.42991403269033,
23,-1292.5786421963194,-6141.006547181322,-10863.41040913002,-11034.806623902221,-9164.121707407956,-10189.4431811963,-10370.773912849845,-10417.474241196192,-11024.32373232219,-3896.126450601052,76.76897625506066,
24,-1292.2125001229535,-6141.140152379725,-10863.489663392713,-11034.818287657086,-9164.161723136187,-10189.46269436579,-10370.78335653653,-10417.4814999657,-11024.369996132104,-3895.7595000279744,78.08593552691369,
25,-1291.798807490669,-6141.24393009093,-10863.59206140792,-11034.82669933581,-9164.19058172024,-10189.476766893458,-10370.7901671442,-10417.486734852555,-11024.428363953066,-3895.4029215372702,79.3810963831221,
26,-1291.5666592768239,-6141.323233863012,-10863.64334401299,-11034.832765678937,-9164.211393983576,-10189.486915733447,-10370.79507882524,-10417.490510153644,-11024.457986921563,-3895.0539378336543,80.65498473745981,
27,-1291.2506530556084,-6141.424737984707,-10863.713061533817,-11034.837140610509,-9164.226403393057,-10189.494234884325,-10370.798621036427,-10417.493232829172,-11024.497441042879,-3894.711552749752,88.40537109438921,
28,-1291.0240609916793,-6141.482196184648,-10863.76811921331,-11034.840295728163,-9164.237227894417,-10189.499513317089,-10370.801175611936,-10417.495196371106,-11024.528535634092,-3898.314273100674,94.72465874679648,
29,-1290.8684297395419,-6141.554361010074,-10863.795212479723,-11034.842571139156,-9164.24503431945,-10189.503320022664,-10370.80301792333,-10417.496612440296,-11024.543989559967,-3893.972885787147,82.03414383870336,
30,-1290.7098276554955,-6141.595950207472,-10863.832975071267,-11034.844212122402,-9164.25066416509,-10189.506065346512,-10370.804346563355,-10417.497633682535,-11024.565206068919,-3890.524037688401,86.33309786677933,
31,-1290.6021627985394,-6141.647240288842,-10863.851045259471,-11034.845395568385,-9164.254724302962,-10189.50804522199,-10370.80530475333,-10417.498370183064,-11024.57544269389,-3887.78421526723,71.42530992984052,
32,-1512.2199248325815,-6141.517067002273,-10859.64734618703,-11034.846249047172,-9174.134559830964,-10189.509473070626,-10370.805995781762,-10417.498901333269,-11022.628131573429,-4102.188762635182,17.641247985131116,
33,-1337.5059138435481,-6175.773932722383,-10857.155668757663,-11034.846864559886,-9175.02346990732,-10189.510502807974,-10370.806494138362,-10417.49928438872,-11021.47174739249,-4214.959505029611,-33.270988365540475,
34,-6278.238327708548,-10844.191094866854,-11044.674068620305,-9167.185542407251,-10189.509542774873,-10370.806539164145,-10417.564354011482,-11019.267299096664,-4194.75788686173,-26.182669233691882,,
35,-6274.351505755603,-6637.4581238683595,-10829.847978340154,-10974.226442590785,-9167.151857483599,-10189.285575485897,-10370.765346103677,-10418.034253583646,-11009.289078370815,-4268.145759788551,-42.39396825294091,
36,-6349.74835000017,-6532.842426991789,-10834.48295887082,-10965.69046195971,-9167.603102139366,-10189.133172137736,-10369.532659959279,-10418.813157449618,-11020.39814409506,-4197.026678246984,-78.38234586328947,
37,-6390.881900700518,-6532.465877561825,-10831.08621124438,-10966.133363090987,-9177.650199413509,-10189.238078141689,-10368.734557546859,-10419.247051074544,-11021.285113825712,-4070.682322369046,-89.97754292061177,
38,-6444.277624086125,-6532.079392376875,-10815.66993386655,-10963.835072306141,-9177.30523626405,-10190.20784064289,-10367.692607217397,-10419.830199388402,-11022.45213126007,-3926.533094612563,-113.39985473938151,
39,-6473.430161779471,-6531.7996224592325,-10813.266274371848,-10954.15229530274,-9177.060797851365,-10190.721879194663,-10367.12783393682,-10420.135127616,-11023.080557659425,-3829.7241426105616,-138.91932605973219,
40,-6508.27518249404,-6521.597559315777,-10808.676619783839,-10970.52267828282,-9176.97527638506,-10191.40790143102,-10366.389400765182,-10447.867478593063,-11023.832964922849,-3739.086744747834,-144.79076877445146,
41,-6524.097030611836,-6511.195459197026,-10806.255521491326,-10960.07737206922,-9176.900956510284,-10191.731198424706,-10365.981622671692,-10447.812690748096,-11024.343411035938,-3678.2596177407163,-144.84724320154933,
42,-6478.85465576422,-6502.632693169915,-10818.765003230214,-11009.421657283181,-9176.884459115605,-10192.33274889038,-10365.457223191928,-10447.867519753474,-11024.592900463318,-3685.55221110444,-161.50348837366948,
43,-6455.950410681258,-6503.580685319183,-10814.768899469806,-11009.433934827694,-9176.857016185404,-10192.498156361802,-10365.290523807531,-10447.867532191221,-11024.637325682294,-3691.7893573715323,-171.60045937043648,
44,-2022.3813400297897,-6417.325652257531,-6511.5324631648455,-10790.785955243928,-11039.89606060644,-9176.739845917875,-10192.310317575764,-10365.109677180468,-10447.619922492024,-11024.709768703522,-176.04210355897476,
