,0,1,2,3,4,5,6,7,8,9,10,11,,,
24,1.356541736,0.086733213,0.447230135,0.291224687,0.284910186,0.330523002,0.30077109,0.205371377,0.246839282,0.286507549,83.91136556,,,,7.977092529
25,0.991176291,0.062550348,0.324602075,0.210025721,0.205471822,0.23836692,0.216910405,0.148109942,0.178015808,0.20662381,83.70273684,,,,7.862235453
26,0.725037667,0.045110124,0.235588395,0.151466566,0.148182381,0.171905701,0.15643167,0.106814081,0.128381624,0.149013173,83.55802139,,,,7.779632071
27,0.531002969,0.032532566,0.170977549,0.109234815,0.106866323,0.123975131,0.112815553,0.077032289,0.092586392,0.107465474,83.44669051,,,,7.719198143
28,0.389399992,0.023461869,0.124081516,0.078778076,0.077069965,0.089408513,0.081360437,0.055554226,0.06677155,0.077502061,83.36205938,,,,7.67504069
29,0.285952777,0.016920255,0.090044693,0.056813254,0.055581397,0.064479724,0.058675604,0.040064654,0.048154375,0.055893017,83.29019745,,,,7.642070654
30,0.210295276,0.012202567,0.065341994,0.040972642,0.040084249,0.046501554,0.042315733,0.028893869,0.034728022,0.040308983,83.23809025,,,,7.61815774
31,0.154895684,0.00880026,0.047414381,0.029548692,0.028908,0.033536039,0.030517304,0.02083771,0.025045191,0.029070074,83.19435632,,,,7.600266332
32,0.114277708,0.00634658,0.034404198,0.021309956,0.020847901,0.024185555,0.022008501,0.015027761,0.018062117,0.020964786,83.1613618,,,,7.587163351
33,0.084456601,0.004577033,0.024962991,0.015368336,0.015035111,0.017442163,0.015872113,0.010837736,0.013026056,0.015119406,83.13524969,,,,7.577449749
34,0.062530551,0.00330087,0.018111977,0.011083353,0.010843037,0.012578957,0.011446667,0.00781597,0.009394144,0.010903829,83.11480543,,,,7.57025589
35,0.046384515,0.002380525,0.013140725,0.007993104,0.007819793,0.009071706,0.008255119,0.005636729,0.006774879,0.007863635,83.09815629,,,,7.564861547
36,0.034475437,0.001716789,0.009533606,0.005764475,0.005639486,0.006542342,0.005953435,0.004065102,0.004885914,0.005671104,83.08532087,,,,7.560869869
37,0.02567641,0.001238116,0.006916393,0.00415723,0.00406709,0.004718213,0.004293505,0.002931675,0.003523629,0.004089893,83.0749305,,,,7.557867514
38,0.019163543,0.000892906,0.005017495,0.002998115,0.002933108,0.003402686,0.003096394,0.002114268,0.002541174,0.002949553,83.06685188,,,,7.555632829
39,0.014333771,0.000643947,0.003639814,0.002162184,0.002115302,0.002453952,0.002233061,0.00152477,0.001832647,0.002127162,83.06034316,,,,7.553946343
40,0.010745113,0.000464402,0.00264032,0.001559326,0.001525516,0.001769744,0.001610441,0.001099635,0.00132167,0.001534069,83.05525029,,,,7.552683684
41,0.008073211,0.000334918,0.001915222,0.001124556,0.001100173,0.001276306,0.00116142,0.000793036,0.000953163,0.001106341,83.05116283,,,,7.55172738
42,0.006079685,0.000241536,0.001389208,0.000811009,0.000793424,0.000920447,0.000837594,0.000571923,0.000687403,0.000797872,83.04794884,,,,7.551007177
43,0.00458908,0.000174192,0.00100763,0.000584884,0.000572202,0.000663809,0.000604057,0.00041246,0.000495742,0.00057541,83.0453775,,,,7.550459724
44,0.003472047,0.000125624,0.000730837,0.000421807,0.000412661,0.000478727,0.000435634,0.000297458,0.00035752,0.000414975,83.04334781,,,,7.550045009
45,0.002633067,9.06E-05,0.000530062,0.000304199,0.000297604,0.000345249,0.000314171,0.000214521,0.000257837,0.000299506,83.04172829,,,,7.549728646
46,0.002001478,6.53E-05,0.000384431,0.000219383,0.000214626,0.000248987,0.000226574,0.000154709,0.000185947,0.000216232,83.04044589,,,,7.549487599
47,0.001524908,4.71E-05,0.000278802,0.000158215,0.000154784,0.000179565,0.000163401,0.000111573,0.000134101,0.000156177,83.03942498,,,,7.549303057
48,0.001164469,3.40E-05,0.00020219,0.000114101,0.000111627,0.000129499,0.000117842,8.05E-05,9.67E-05,0.000112866,83.03861481,,,,7.549161687
49,0.000891221,2.45E-05,0.000146626,8.23E-05,8.07E-05,9.34E-05,8.50E-05,5.80E-05,6.97E-05,8.16E-05,83.03797254,,,,7.549053246
50,0.00068359,1.77E-05,0.000106328,5.96E-05,5.85E-05,6.74E-05,6.13E-05,4.18E-05,5.03E-05,5.91E-05,83.03745819,,,,7.548969428
51,0.000525453,1.27E-05,7.71E-05,4.32E-05,4.24E-05,4.86E-05,4.42E-05,3.02E-05,3.63E-05,4.29E-05,83.03705251,,,,7.548905044
52,0.000404736,9.19E-06,5.59E-05,3.14E-05,3.08E-05,3.50E-05,3.19E-05,2.18E-05,2.62E-05,3.11E-05,83.03672802,,,,7.548855092
53,0.000312376,6.63E-06,4.05E-05,2.29E-05,2.24E-05,2.53E-05,2.30E-05,1.57E-05,1.89E-05,2.27E-05,83.03647117,,,,7.548816502
