,0,1,2,3,4,5,6,7,8,9,10,11
91,-14696.464619968929,-17499.054749718478,-10142.049500114967,-10986.776801787095,-10744.225892388002,-10989.596375774116,-10794.599452650027,-11158.339025888847,-10830.790183941881,-13744.618461214153,,
92,-14696.41053338799,-17499.04589259293,-10142.049500119343,-10986.776801787095,-10744.225653018453,-10989.596470958862,-10794.599452650027,-11158.339025888845,-10830.790183941894,-13744.681055159894,,
93,-14696.37152717187,-17499.042268651796,-10142.04950012249,-10986.776801787091,-10744.225307861843,-10989.596608209613,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.723462867421,,
94,-14696.343396628768,-17499.03937035525,-10142.049500122494,-10986.776801787095,-10744.225336951033,-10989.596596642366,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.754281384174,,
95,-14696.323109414727,-17499.034694832768,-10142.049500122484,-10986.776801787102,-10744.225247889135,-10989.596632057623,-10794.599452650027,-11158.339025888836,-10830.790183941885,-13744.779113488035,,
96,-14696.308478660823,-17499.03278454608,-10142.049500122497,-10986.776801787091,-10744.225092371578,-10989.596693898828,-10794.599452650027,-11158.339025888836,-10830.79018394189,-13744.795576081424,,
97,-14696.297927238658,-17499.031256396374,-10142.049500122499,-10986.776801787095,-10744.225127293394,-10989.596680012244,-10794.599452650027,-11158.339025888847,-10830.790183941885,-13744.807572680846,,
98,-14696.290317753166,-17499.028786883515,-10142.049500122494,-10986.776801787102,-10744.225094276402,-10989.596693141382,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.817602973286,,
99,-14696.284829936574,-17499.02777873544,-10142.049500122494,-10986.776801787102,-10744.22502215431,-10989.596721820566,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.824072153922,,
100,-14696.280872227353,-17499.02697223291,-10142.049500122494,-10986.776801787095,-10744.22504795506,-10989.596711560962,-10794.599452650027,-11158.339025888841,-10830.790183941885,-13744.828803019145,,
101,-14696.27801800255,-17499.025667434245,-10142.049500122494,-10986.776801787099,-10744.225035783329,-10989.596716401016,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.832943875768,,
102,-14696.275959589759,-17499.025134875967,-10142.049500122499,-10986.776801787095,-10744.225001429753,-10989.596730061636,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.835526157673,,
103,-14696.27447510151,-17499.02470894178,-10142.049500122488,-10986.776801787102,-10744.225017826811,-10989.596723541383,-10794.599452650027,-11158.339025888845,-10830.79018394189,-13744.837422920535,,
104,-14696.27340451675,-17499.02401943137,-10142.049500122497,-10986.776801787102,-10744.2250133805,-10989.596725309448,-10794.599452650027,-11158.339025888845,-10830.79018394189,-13744.839176274307,,
105,-14696.272632431323,-17499.023737845993,-10142.049500122497,-10986.776801787095,-10744.224996625608,-10989.596731971995,-10794.599452650027,-11158.339025888845,-10830.79018394189,-13744.840227421086,,
106,-14696.272075617968,-17499.023512790027,-10142.049500122499,-10986.776801787091,-10744.22500633064,-10989.59672811281,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.841003557609,,
107,-14696.271674054733,-17499.023148452074,-10142.049500122488,-10986.776801787095,-10744.225004732662,-10989.596728748247,-10794.599452650027,-11158.339025888845,-10830.790183941894,-13744.841766967378,,
108,-14696.271384454943,-17499.022999401866,-10142.04950012249,-10986.776801787102,-10744.224996394481,-10989.596732063903,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.84220506085,,
109,-14696.27117560107,-17499.022880445213,-10142.049500122494,-10986.776801787095,-10744.225001915192,-10989.596729868605,-10794.599452650027,-11158.339025888841,-10830.790183941885,-13744.842530398755,,
110,-14696.271024979626,-17499.02268800643,-10142.049500122494,-10986.776801787102,-10744.22500135945,-10989.596730089599,-10794.599452650027,-11158.339025888841,-10830.790183941885,-13744.842872542895,,
111,-14696.270916354295,-17499.0226089817,-10142.049500122488,-10986.776801787091,-10744.224997138772,-10989.596731767935,-10794.599452650027,-11158.339025888841,-10830.790183941885,-13744.8430601919,,
112,-14696.270838015764,-17499.02254608998,-10142.049500122494,-10986.776801787099,-10744.22500020432,-10989.596730548928,-10794.599452650027,-11158.339025888845,-10830.790183941881,-13744.843200324214,,
