,0,1,2,3,4,5,6,7,8,9,10,11
10,-5486.363840614199,-3894.361304089909,-5180.262327886769,-6462.489368167232,-4201.80445635988,-5435.398534323781,-5104.820071655291,-7377.766379903428,-5499.097046628119,-988.6138201823178,-4591.4918514103,
11,-5496.573810823182,-3894.3422114404975,-5190.472298083767,-6462.364818615426,-4212.014426555422,-5435.309365228722,-5104.828880209076,-7377.5692078908705,-5509.306173651408,-990.1963089670473,-4598.070958207521,
12,-5502.660148130767,-4213.566744302887,-5196.558635384203,-6462.274969341114,-4536.615862810939,-5435.225736436637,-5104.835220024639,-7377.427152939249,-5515.391902870991,-991.6317926758979,-4923.233922514626,
13,-5509.520695494394,-4213.556786519116,-5203.41918273978,-6462.210171749037,-4540.00666463509,-5435.165424938327,-5104.839792179351,-7377.324705603092,-5522.252011690148,-992.9490928962106,-4928.628650142915,
14,-5513.499763419161,-4213.549605154336,-5207.398250659876,-6462.163440954923,-4539.95766669155,-5435.121929429929,-5104.843089530586,-7377.2508225278125,-5526.230763346116,-994.1709551139115,-4933.592737092483,
15,-5518.132416209338,-4213.54442609028,-5212.03090344462,-6462.129739592746,-4539.922330304219,-5435.090561294431,-5104.845467517747,-7377.197539455571,-5530.863188047144,-995.3150573680583,-4938.206254691935,
16,-5520.7429113178105,-4213.540691047512,-5214.641398550025,-6462.105434809696,-4539.896846372055,-5435.067939190211,-5104.8471824769695,-7377.1617600896425,-5533.473518662916,-996.3956025817331,-4942.535170276308,
17,-5523.8868609142655,-4213.537997227831,-5217.785348142788,-6462.087906538464,-4539.878467784576,-5435.0516244101555,-5104.8484192139695,-7377.143099663161,-5536.617349628852,-997.4240978429567,-4946.626121785996,
18,-5525.605885134005,-4213.536047814869,-5219.504372360505,-6462.075260864878,-4539.865211275284,-5435.039852948627,-5104.849308904555,-7377.129636565927,-5538.336288295165,-998.4091476892098,-4950.519788848443,
19,-5527.7503349614735,-3894.2963014664956,-5221.648822185471,-6462.066141044993,-4539.8556509322725,-5435.031363593888,-5104.849950532536,-7377.1199272356025,-5540.480676422065,-999.3577937690142,-4954.247561493237,
20,-5528.886800234169,-3894.2952875727588,-5222.785287456821,-6462.059564003904,-4539.848756194267,-5435.025241232305,-5104.8504132624585,-7377.11292505078,-5541.617097197949,-1000.275620152217,-4957.834958401774,
21,-5530.35691497191,-3894.294556371827,-5224.255402192849,-6462.05482076665,-4539.843783840017,-5435.020825901284,-5104.8507469745,-7377.107875207913,-5543.0871798446715,-1001.1670607135976,-5280.540706906047,
22,-5531.111375875065,-3894.2940290435854,-5225.009863095117,-6462.051400033921,-4539.840197872465,-5435.017641648313,-5104.850987641299,-7377.104233357058,-5543.8416176047585,-1002.035641430373,-5283.908437686697,
23,-5532.1242677439905,-3894.2936487444613,-5226.0227549628535,-6462.048933066376,-4539.837611740696,-5435.0153452254735,-5104.8511612056245,-7377.1016069232965,-5544.8544927827825,-1002.8841714315495,-5287.186687488213,
24,-5532.627312450855,-3894.293374479944,-5226.52579966912,-6462.047153936187,-4539.835746671527,-5435.013689088896,-5104.851286376921,-7377.099712789098,-5545.357525452753,-1003.7148936796733,-5290.384771528249,
25,-5533.328629897493,-3894.293176685575,-5227.227117114938,-6462.045870861238,-4539.834401619024,-5435.012494714611,-5104.851376648092,-7377.098346775452,-5546.0588342182145,-1004.5322614620724,-5293.511134241727,
26,-5533.66555848645,-3894.29303404003,-5227.564045703494,-6462.044945531931,-4539.833431592674,-5435.011633354542,-5104.851441749941,-7377.097361632323,-5546.395756546668,-1005.3397261071426,-5296.572592723084,
27,-5534.1534825009985,-3894.292931166769,-5228.051969717482,-6462.044278201989,-4539.832732028076,-5435.011012157994,-5104.851488700164,-7377.096651165786,-5546.883676045976,-1006.1373865927327,-5314.678492701087,
28,-5534.541122212521,-3894.2928569765263,-5228.439609428539,-6462.043796936296,-4539.83222751536,-5435.010564162835,-5104.851522559773,-7377.0961387908,-5547.27131250114,-1338.3385493220283,-5329.415604518522,
29,-5534.726298129467,-3894.2928034719303,-5228.624785345271,-6462.0434498566065,-4539.83186367036,-5435.010241077217,-5104.8515469786835,-7377.095769275676,-5547.456486069782,-1348.6370917088232,-5980.041789847945,
30,-5534.996205541772,-3894.2927648854247,-5228.894692757266,-6462.043199549319,-4539.831601272248,-5435.010008074008,-5104.851564589131,-7377.095502788382,-5547.7263917883765,-1356.8189498189058,-5990.189555023866,
31,-5535.122289344746,-3894.2927370575753,-5229.02077656008,-6462.043019032459,-4539.831412035707,-5435.009840036505,-5104.851577289455,-7377.095310602804,-5547.8524743699445,-1363.3191707226183,-6636.781518609998,
32,-5503.41096838312,-3171.003595640921,-5197.309455635549,-6462.042888847115,-4858.918632553673,-5435.009718851051,-5104.851586448693,-7377.095172002204,-5516.232034755865,-1680.6238266619257,-6937.083333773365,
33,-5164.621908140835,-3171.003590611909,-5178.513655515199,-6462.042794959917,-4858.918534157388,-5435.0096314544,-5104.8515930541525,-7377.0950720460905,-5497.489578414779,-1361.0619986986405,-7254.350027671587,
