,ele_load,p_el,p_hp,p_eb,p_pv_hour,p_fc_hour,p_bs_hour,p_bs_ch_hour,p_bs_di_hour,g_ht,g_ht_ch,g_ht_di,g_hp,g_eb,g_fc_hour,g_demand,water_load,total_g_load,g_rh,h_fc_hour,h_el,h_hs,h_pur
45,155.5364391,0,278.0268411,0,0,433.5632802,322.1293195,0,0,1684.322256,0,-5.68E-13,1223.318101,0,520.2759363,1606.681261,136.912776,1743.594037,0,27.09770501,0,67.36077351,0
46,110.1318833,0,210.0409403,0,0,320.1728236,322.1293195,0,0,1684.322256,0,0,924.1801372,0,384.2073883,1239.01651,69.371016,1308.387526,0,20.01080148,0,40.2630685,0
47,112.8013151,0,211.2349572,0,0,324.0362724,322.1293195,0,0,1684.322256,0,-2.84E-13,929.4338118,0,388.8435268,1282.677203,35.600136,1318.277339,0,20.25226702,0,20.25226702,0
48,52.52977989,0,127.0381028,0,0,179.5678827,322.1293195,0,0,1684.322256,0,0,558.9676525,0,215.4814593,747.0459118,27.4032,774.4491118,0,11.22299267,0,0,27.12163515
49,56.28354583,0,130.5264854,0,0,186.8100312,322.1293195,0,0,1684.322256,0,0,574.3165356,0,224.1720374,794.211773,4.2768,798.488573,0,11.67562695,0,15.89864248,0
50,59.05442331,0,8.513825212,0,0,67.56824853,322.1293195,0,0,1684.322256,0,703.8683527,37.46083093,0,81.08189823,820.3518818,2.0592,822.4110818,0,4.223015533,0,4.223015533,0
51,59.92563086,0,119.9686377,0,0,179.8942686,322.1293195,0,0,902.2463081,0,85.63112807,527.8620059,0,215.8731223,829.3662563,0,829.3662563,0,11.24339179,0,0,11.24339179
52,63.31711131,0,140.1163469,0,0,203.4334582,322.1293195,0,0,807.1006103,0,0,616.5119264,0,244.1201499,858.5728762,2.0592,860.6320762,0,12.71459114,0,0,12.71459114
53,67.99675269,0,146.771044,0,0,214.7677967,322.1293195,0,0,807.1006103,0,0,645.7925937,0,257.7213561,899.2371498,4.2768,903.5139498,0,13.42298729,0,0,13.42298729
54,74.64851589,0,158.7786755,0,2.774122807,230.6530685,322.1293195,0,0,807.1006103,0,0,698.626172,0,276.7836823,941.6706543,33.7392,975.4098543,0,14.41581678,0,0,14.41581678
55,152.8691794,0,320.5364395,0,229.5285088,243.2524748,317.3498937,0,0.62463534,807.1006103,0,0,1410.360334,0,291.9029697,1607.223303,95.04,1702.263303,0,15.20327967,0,0,23.29754773
56,154.7258551,0,338.5663093,0,412.9824561,129.5082889,576.0535183,60.39383995,11.19525923,807.1006103,0,86.98510081,1489.691761,0,155.4099467,1605.366808,126.72,1732.086808,0,8.094268059,0,8.094268059,0
57,133.3950089,0,291.3091719,0,215.0548246,205.6217001,827.3980585,0,4.027656225,710.4504983,0,0,1281.760356,0,246.7460401,1431.407197,97.0992,1528.506397,0,12.85135625,0,0,12.85135625
58,98.13112183,0,212.86016,0,98.78289474,212.2083871,810.439506,0,0,710.4504983,0,0,936.5847041,0,254.6500645,1144.823569,46.4112,1191.234769,0,13.26302419,0,0,13.26302419
59,101.6518978,0,262.4428563,0,252.5657895,66.97856651,297.5309932,6.378944493,50.92934261,710.4504983,0,0,1154.748568,0,80.37427981,1159.090847,76.032,1235.122847,0,4.186160407,0,0,4.186160407
60,74.79431863,41.94048452,338.5663093,0,506.6995614,0,553.0285655,51.39844898,0,710.4504983,507.7042615,0,1489.691761,0,0,935.5762993,46.4112,981.9874993,0,0,0.932010767,0,0
61,80.09741623,0,338.5663093,0,414.0679825,0,941.9580132,15.8233531,20.41909615,1167.384334,468.9164357,0,1489.691761,0,0,995.4313251,25.344,1020.775325,0,0,0,0.932010767,0
62,83.08873714,0,239.2879644,0,307.9276316,0,693.7239526,2.356076056,16.80514604,1589.409126,0,0,1052.867043,0,0,1014.851043,38.016,1052.867043,0,0,0,0.932010767,0
63,71.93690537,0,245.7109872,0,356.2938596,0,723.1205457,39.1846072,0.538640174,1589.409126,105.4590331,0,1081.128344,0,0,882.8469108,92.8224,975.6693108,0,0,0,0.932010767,0
64,118.9262071,0,276.2012653,0,205.6469298,135.3386615,712.1544074,0,54.14188106,1684.322256,0,0,1215.285567,0,162.4063938,1331.280761,46.4112,1377.691961,0,8.458666343,0,0.932010767,7.526655576
65,150.2995413,0,268.7285121,0,13.02631579,405.2306603,313.1498972,0,0.771077277,1684.322256,0,0,1182.405453,0,486.2767924,1598.986246,69.696,1668.682246,0,25.32691627,0,0,25.32691627
66,171.9093552,0,292.6006631,0,0,464.5100183,309.0915957,0,0,1684.322256,0,0,1287.442918,0,557.4120219,1817.451739,27.4032,1844.854939,0,29.03187614,0,0,54.95177356
67,149.8657159,0,264.8526428,0,0,414.7183586,309.0915957,0,0,1684.322256,0,0,1165.351628,0,497.6620304,1597.594459,65.4192,1663.013659,0,25.91989742,0,25.91989742,0
68,157.7691861,0,279.8957802,0,0,437.6649663,309.0915957,0,0,1684.322256,0,0,1231.541433,0,525.1979595,1636.355393,120.384,1756.739393,0,27.35406039,0,0,71.522821
69,147.1446336,0,267.666785,0,0,414.8114186,309.0915957,0,0,1684.322256,0,0,1177.733854,0,497.7737023,1521.384356,154.1232,1675.507556,0,25.92571366,0,44.1687606,0
70,98.0106336,0,193.8781174,0,0,291.888751,309.0915957,0,0,1684.322256,0,0,853.0637168,0,350.2665013,1125.239018,78.0912,1203.330218,0,18.24304694,0,18.24304694,0
71,100.0772907,0,193.9208933,0,0,293.9981841,309.0915957,0,0,1684.322256,0,0,853.2519306,0,352.7978209,1165.974552,40.0752,1206.049752,0,18.3748865,0,0,18.3748865
72,0.560295792,0,0,0,0,0,305.847778,0,0.560295792,1684.322256,0,20.010564,0,0,0,0,20.010564,20.010564,0,0,0,0,0
73,0.087445008,0,0,0,0,0,301.5079146,0,0.087445008,1662.088296,0,3.123036,0,0,0,0,3.123036,3.123036,0,0,0,0,0
74,0.042103152,0,0,0,0,0,300.6658516,0,0.042103152,1658.618256,0,1142.118097,0,0,0,0,1.503684,1.503684,1140.614413,0,0,0,0
75,0,0,0,0,0,0,300.3777774,0,0,389.5981473,0,346.0116126,0,0,0,0,0,0,346.0116126,0,0,0,0
76,0.042103152,0,0,0,0,0,300.1340223,0,0.042103152,5.1408,0,1.503684,0,0,0,0,1.503684,1.503684,0,0,0,0,0
77,0.087445008,0,0,0,0.964912281,0,299.4550188,0.950338113,0.07287084,3.47004,0,3.123036,0,0,0,0,3.123036,3.123036,0,0,0,0,0
78,0.689843952,74.28548327,0,170.0802759,343.2675439,0,342.4286442,444.6343038,346.422363,0,0,0,0,153.0722483,0,0,24.637284,24.637284,128.4349643,0,1.650788517,0,0
79,1.9432224,74.28548327,321.9488246,201.5532148,562.0614035,0,555.4974747,227.8049918,265.4743334,0,0,0,1416.574828,181.3978933,0,0,69.4008,69.4008,1528.571921,0,1.650788517,1.650788517,0
80,2.5909632,74.28548327,321.9488246,337.1234013,811.8530702,0,240.251688,557.0716468,481.167249,0,0,0,1416.574828,303.4110612,0,0,92.5344,92.5344,1627.451489,0,1.650788517,3.301577034,0
81,1.985325552,74.28548327,321.9488246,331.2136376,766.0197368,0,748.9981746,238.7604292,202.1739634,0,0,0,1416.574828,298.0922739,0,0,70.904484,70.904484,1643.762618,0,1.650788517,4.952365551,0
82,0.948940272,74.28548327,321.9488246,221.7274242,619.9561404,0,324.9953384,324.9584606,323.9129926,0,0,0,1416.574828,199.5546817,0,0,33.890724,33.890724,1582.238786,0,1.650788517,6.603154068,0
83,1.55457792,74.28548327,301.1670781,340.5986352,761.6776316,0,195.0175036,554.2009902,510.1291331,0,0,0,1325.135144,306.5387716,0,0,55.52064,55.52064,1576.153275,0,1.650788517,8.253942585,0
84,0.948940272,74.28548327,298.1150401,341.9205464,772.0504386,0,178.6118333,557.0716468,500.2912183,0,0,0,1311.706177,307.7284917,0,0,33.890724,33.890724,1585.543944,0,1.650788517,9.904731103,0
85,0.51819264,74.28548327,301.2561672,341.9205464,779.1666667,0,296.2734407,551.8781056,490.6918284,0,1614.748747,0,1325.527136,307.7284917,0,0,18.50688,18.50688,0,0,1.650788517,11.55551962,0
86,0.77728896,74.28548327,321.9488246,341.9205464,812.6973684,0,426.4934397,557.0716468,483.3064216,1453.273873,0,0,1416.574828,307.7284917,0,0,27.76032,27.76032,1696.543,0,1.650788517,13.20630814,0
87,1.897880544,74.28548327,240.9198457,341.9205464,731.5241228,0,751.3533067,545.5347928,473.0344258,1453.273873,0,0,1060.047321,307.7284917,0,0,67.781448,67.781448,1299.994365,0,1.650788517,14.85709665,0
